Site,Parameter,Date (LT),Year,Month,Day,Hour,AQI,AQI Category,24-hr. Midpoint Avg. Conc.,Raw Conc.,Conc. Unit,Duration,QC Name
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 05:00 PM,2016,06,22,17,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 06:00 PM,2016,06,22,18,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 07:00 PM,2016,06,22,19,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 08:00 PM,2016,06,22,20,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 09:00 PM,2016,06,22,21,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 10:00 PM,2016,06,22,22,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-22 11:00 PM,2016,06,22,23,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 12:00 AM,2016,06,23,00,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 01:00 AM,2016,06,23,01,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 02:00 AM,2016,06,23,02,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 03:00 AM,2016,06,23,03,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 04:00 AM,2016,06,23,04,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 05:00 AM,2016,06,23,05,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 06:00 AM,2016,06,23,06,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 07:00 AM,2016,06,23,07,-999,-999,-999.0,-999.0,UG/M3,1 Hr,Missing
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 08:00 AM,2016,06,23,08,-999,-999,-999.0,26.0,UG/M3,1 Hr,Valid
Ho Chi Minh City,PM2.5 - Principal,2016-06-23 09:00 AM,2016,06,23,09,86,2,28.7,31.0,UG/M3,1 Hr,Valid
